time_s,tx_id,rx_id,distance_m,rssi_dbm,snr_db
8.6098,3,2,47.8875,-78.8792,42.3393
8.6098,3,4,14.2666,-70.0619,51.1565
8.6123,2,3,47.8777,-78.8792,42.3393
8.6123,2,4,43.2691,-77.6903,43.5282
8.7701,4,2,48.0690,-78.9351,42.2833
8.7701,4,3,13.3850,-69.5848,51.6337
8.9123,2,3,52.3494,-79.9809,41.2376
8.9123,2,4,52.5413,-80.0235,41.1950
8.9701,4,2,54.2385,-80.0235,41.1950
8.9701,4,3,12.6817,-69.4573,51.7612
9.1701,4,2,60.3871,-80.9860,40.2325
9.1701,4,3,12.6099,-70.7521,50.4664
9.2098,3,2,56.8562,-80.4851,40.7334
9.2098,3,4,12.7194,-70.7848,50.4337
9.2123,2,3,56.8518,-80.4851,40.7334
9.2123,2,4,61.7841,-80.9860,40.2325
9.3616,4,2,66.3910,-81.8547,39.3638
9.3616,4,3,13.1809,-69.6850,51.5335
9.4196,3,2,60.0560,-80.9625,40.2560
9.4196,3,4,13.4584,-69.6852,51.5333
9.5151,2,3,61.4357,-80.9625,40.2560
9.5151,2,4,70.9825,-82.2421,38.9764
9.6196,3,2,63.1357,-81.4157,39.8027
9.6196,3,4,14.7360,-70.3617,50.8568
9.6616,4,2,75.6023,-82.9963,38.2222
9.6616,4,3,15.0354,-71.3987,49.8198
9.8151,2,3,66.0981,-81.9134,39.3051
9.8151,2,4,80.1330,-83.3616,37.8569
9.8196,3,2,66.2568,-81.9134,39.3051
9.8196,3,4,16.3369,-69.4799,51.7386
9.9616,4,2,84.6878,-84.0194,37.1991
9.9616,4,3,17.6132,-70.8697,50.3488
10.0196,3,2,69.4115,-82.3240,38.8945
10.0196,3,4,18.2250,-70.8628,50.3557
10.1176,2,3,70.8533,-82.3240,38.8945
10.1176,2,4,88.9114,-84.3051,36.9134
10.2176,2,3,71.7331,-82.3240,38.8945
10.2176,2,4,90.9978,-84.3051,36.9134
10.2196,3,2,71.8069,-82.3240,38.8945
10.2196,3,4,19.8455,-72.4354,48.7831
10.2708,4,2,92.0709,-84.9333,36.2851
10.2708,4,3,20.1555,-73.9141,47.3044
10.3176,2,3,72.5866,-82.7520,38.4665
10.3176,2,4,93.0266,-84.9333,36.2851
10.4176,2,3,73.4846,-82.7520,38.4665
10.4176,2,4,95.0589,-84.9333,36.2851
10.5176,2,3,74.4163,-82.9381,38.2804
10.5176,2,4,97.0837,-85.3477,35.8708
10.5213,3,2,74.5836,-82.9381,38.2804
10.5213,3,4,22.8078,-75.3089,45.9095
10.5708,4,2,98.1611,-85.3477,35.8708
10.5708,4,3,23.0667,-75.3089,45.9096
10.6176,2,3,75.4032,-82.9381,38.2804
10.6176,2,4,99.1224,-85.3477,35.8708
10.7176,2,3,76.4350,-83.2774,37.9411
10.7176,2,4,101.1641,-85.5036,35.7149
10.8176,2,3,77.5003,-83.2774,37.9411
10.8176,2,4,103.1978,-85.7440,35.4745
10.8213,3,2,77.6773,-83.2774,37.9411
10.8213,3,4,26.0653,-79.9121,41.3064
10.8708,4,2,104.2885,-85.7440,35.4745
10.8708,4,3,26.3737,-79.9249,41.2936
10.9176,2,3,78.6202,-83.4852,37.7333
10.9176,2,4,105.2447,-85.8952,35.3233
11.0176,2,3,79.7841,-83.4852,37.7333
11.0176,2,4,107.2942,-86.1239,35.0946
11.1176,2,3,80.9816,-83.6972,37.5213
11.1176,2,4,109.3353,-86.2705,34.9480
11.1213,3,2,81.1665,-83.6972,37.5213
11.1213,3,4,29.6216,-82.8838,38.3347
11.1708,4,2,110.4296,-86.2705,34.9480
11.1708,4,3,29.9650,-82.7586,38.4599
11.4026,3,2,85.0804,-84.0899,37.1286
11.4026,3,4,32.8148,-75.3360,45.8825
11.4113,2,3,85.1135,-84.0899,37.1286
11.4113,2,4,115.4901,-86.6307,34.5878
11.4551,4,2,116.4224,-86.8390,34.3795
11.4551,4,3,33.3528,-88.3394,32.8791
11.6026,3,2,88.2333,-84.3101,36.9084
11.6026,3,4,34.9175,-88.9217,32.2968
11.7113,2,3,89.9211,-84.3101,36.9084
11.7113,2,4,121.6640,-87.1763,34.0421
11.7551,4,2,122.5930,-87.3104,33.9081
11.7551,4,3,36.5153,-93.0051,28.2134
11.8108,3,2,91.6718,-84.5310,36.6875
11.8108,3,4,37.1761,-92.5009,28.7176
12.0108,3,2,95.1634,-85.0666,36.1518
12.0108,3,4,39.3343,-77.2717,43.9468
12.0113,2,3,95.1005,-85.0666,36.1518
12.0113,2,4,127.8523,-87.6318,33.5867
12.0738,4,2,128.9687,-87.6318,33.5867
12.0738,4,3,39.5772,-77.2202,43.9983
12.2108,3,2,98.8826,-85.2826,35.9359
12.2108,3,4,40.9428,-83.7584,37.4601
12.3108,3,2,100.7931,-85.2826,35.9359
12.3108,3,4,41.6702,-83.7584,37.4601
12.3206,2,3,100.8236,-85.2826,35.9359
12.3206,2,4,134.1688,-87.9420,33.2765
12.3738,4,2,135.1698,-88.2417,32.9768
12.3738,4,3,41.7526,-84.0150,37.2035
12.4101,3,2,102.7424,-85.8008,35.4177
12.4101,3,4,42.3726,-84.0168,37.2017
12.5101,3,2,104.7114,-85.8008,35.4177
12.5101,3,4,43.0719,-84.0168,37.2017
12.6101,3,2,106.7087,-86.0065,35.2120
12.6101,3,4,43.7575,-85.1245,36.0940
12.6206,2,3,106.7476,-86.0065,35.2120
12.6206,2,4,140.3768,-88.5316,32.6869
12.6738,4,2,141.3890,-88.5316,32.6869
12.6738,4,3,43.7954,-85.1226,36.0959
12.7101,3,2,108.6593,-86.0065,35.2120
12.7101,3,4,44.3636,-85.1245,36.0940
12.8101,3,2,110.5217,-86.4460,34.7725
12.8101,3,4,44.8686,-85.2900,35.9284
12.9101,3,2,112.4131,-86.4460,34.7725
12.9101,3,4,45.3418,-85.2900,35.9284
12.9206,2,3,112.4187,-86.4460,34.7725
12.9206,2,4,146.5967,-88.8124,32.4061
12.9738,4,2,147.6067,-88.8124,32.4061
12.9738,4,3,45.2564,-85.2882,35.9303
13.0101,3,2,114.3147,-86.6414,34.5771
13.0101,3,4,45.8046,-85.2900,35.9284
13.1101,3,2,116.2128,-86.8198,34.3987
13.1101,3,4,46.2659,-104.7421,16.4764
13.2043,3,2,118.0067,-87.0069,34.2116
13.2043,3,4,46.5781,-104.7421,16.4764
13.2206,2,3,118.1324,-87.0069,34.2116
13.2206,2,4,152.8248,-89.1993,32.0192
13.2708,4,2,153.8427,-89.3484,31.8701
13.2708,4,3,46.6356,-101.2970,19.9214
13.3043,3,2,119.9105,-87.0069,34.2116
13.3043,3,4,47.0423,-101.2893,19.9291
13.4043,3,2,121.7561,-87.1741,34.0444
13.4043,3,4,47.5389,-104.5748,16.6437
13.5131,2,3,123.5192,-87.3538,33.8647
13.5131,2,4,158.9441,-89.6047,31.6138
13.5708,4,2,160.0619,-89.6047,31.6138
13.5708,4,3,48.2300,-101.0659,20.1526
13.6131,2,3,125.2375,-87.3538,33.8647
13.6131,2,4,161.0034,-89.6047,31.6138
13.7071,3,2,126.8836,-87.5367,33.6817
13.7071,3,4,49.1978,-101.0584,20.1601
13.7131,2,3,126.9233,-87.5367,33.6817
13.7131,2,4,163.0258,-89.7169,31.5016
13.8131,2,3,128.5770,-87.6773,33.5412
13.8131,2,4,165.0111,-89.8567,31.3618
13.8708,4,2,166.0719,-89.9627,31.2558
13.8708,4,3,49.7941,-98.1988,23.0197
13.9131,2,3,130.2168,-87.8477,33.3708
13.9131,2,4,166.9797,-89.9627,31.2558
14.0071,3,2,131.7718,-87.8477,33.3708
14.0071,3,4,50.6812,-95.6402,25.5783
14.0131,2,3,131.8151,-87.8477,33.3708
14.0131,2,4,168.9005,-90.0983,31.1202
14.1113,2,3,133.3988,-87.9830,33.2355
14.1113,2,4,170.8046,-90.0983,31.1202
14.1621,4,2,171.7134,-90.2048,31.0137
14.1621,4,3,51.2714,-87.3927,33.8258
14.2113,2,3,134.9454,-88.1517,33.0668
14.2113,2,4,172.6683,-90.3364,30.8821
14.3071,3,2,136.4170,-88.1517,33.0668
14.3071,3,4,51.9934,-80.1632,41.0553
14.3113,2,3,136.4636,-88.1517,33.0668
14.3113,2,4,174.4971,-90.3364,30.8821
14.4113,2,3,137.9688,-88.4449,32.7736
14.4113,2,4,176.3090,-90.5673,30.6512
14.4621,4,2,177.1513,-90.5673,30.6512
14.4621,4,3,52.4837,-87.2053,34.0131
14.5113,2,3,139.4284,-88.4449,32.7736
14.5113,2,4,178.0700,-90.5673,30.6512
14.6028,3,2,140.8155,-88.4449,32.7736
14.6028,3,4,53.1322,-87.1366,34.0819
14.6113,2,4,179.8172,-90.5673,30.6512
14.7113,2,4,181.5136,-90.6943,30.5242
14.7621,4,2,182.3131,-90.7902,30.4283
14.7621,4,3,53.5259,-87.3085,33.9100
14.8113,2,3,142.9937,-88.5724,32.6461
14.8113,2,3,143.6780,-88.7247,32.4938
14.8113,2,4,183.0326,-90.7902,30.4283
14.8581,4,2,183.2625,-90.7902,30.4283
14.8581,4,3,53.5933,-87.3085,33.9100
14.9028,3,2,144.9859,-88.7247,32.4938
14.9028,3,4,53.4107,-87.3081,33.9104
14.9113,2,4,183.4400,-90.7902,30.4283
14.9581,4,2,183.6569,-90.7902,30.4283
14.9581,4,3,53.2546,-87.3085,33.9100
15.0096,2,4,183.8362,-90.8660,30.3524
15.0581,4,2,184.0261,-90.8660,30.3524
15.0581,4,3,52.9204,-100.7743,20.4442
15.1096,2,3,147.0611,-88.8468,32.3717
15.1096,2,3,147.6176,-88.8468,32.3717
15.1096,2,4,184.1858,-90.8660,30.3524
15.1581,4,2,184.3652,-90.9591,30.2593
15.1581,4,3,52.5965,-100.9030,20.3155
15.2028,3,2,148.9121,-88.9940,32.2245
15.2028,3,4,52.4212,-101.5758,19.6427
15.2096,2,3,148.9045,-88.9940,32.2245
15.2096,2,4,184.5129,-90.9591,30.2593
15.2581,4,2,184.6696,-90.9488,30.2696
15.2581,4,3,52.2684,-87.3967,33.8218
15.3096,2,3,150.1617,-89.1141,32.1044
15.3096,2,4,184.8075,-90.9488,30.2696
15.3581,4,2,184.9524,-90.9488,30.2696
15.3581,4,3,51.9623,-87.7247,33.4938
15.4096,2,3,151.4212,-89.1141,32.1044
15.4096,2,4,185.0749,-90.9488,30.2696
15.4673,4,2,185.2579,-90.9412,30.2773
15.4673,4,3,51.5411,-88.4228,32.7957
15.5096,2,3,152.7025,-89.1141,32.1044
15.5096,2,4,185.3458,-90.9412,30.2773
15.5181,3,2,152.7642,-89.1141,32.1044
15.5181,3,4,51.5982,-88.4217,32.7967
15.6096,2,3,153.9983,-89.2355,31.9830
15.6096,2,4,185.6203,-90.9412,30.2773
15.7096,2,3,155.3087,-89.3618,31.8567
15.7096,2,4,185.8982,-91.0118,30.2067
15.7673,4,2,186.0803,-91.0118,30.2067
15.7673,4,3,50.6971,-89.1229,32.0956
15.8181,3,2,156.6894,-89.4801,31.7384
15.8181,3,4,50.7919,-87.5020,33.7165
16.0066,2,3,158.8128,-89.4801,31.7384
16.0066,2,4,186.1901,-94.6639,26.5546
16.0673,4,2,186.1945,-100.9938,20.2247
16.0673,4,3,49.9857,-87.3442,33.8743
16.1181,3,2,159.9249,-89.6737,31.5447
16.1181,3,4,50.1088,-87.2289,33.9896
16.2066,2,3,160.9377,-89.6737,31.5447
16.2066,2,4,186.0965,-94.7136,26.5048
16.3638,4,2,185.4152,-91.0337,30.1848
16.3638,4,3,49.3992,-86.7261,34.4924
16.4066,2,3,162.2907,-89.7882,31.4303
16.4066,2,4,185.2259,-91.0337,30.1848
16.4136,3,2,162.2765,-89.7882,31.4303
16.4136,3,4,49.5590,-86.7191,34.4994
16.5066,2,3,162.9816,-89.9063,31.3122
16.5066,2,4,184.8019,-91.0337,30.1848
16.6066,2,3,163.5568,-89.9063,31.3122
16.6066,2,4,184.2910,-107.0232,14.1953
16.6638,4,2,183.9329,-106.8225,14.3960
16.6638,4,3,49.0587,-86.1128,35.1057
16.7066,2,3,163.9915,-89.9505,31.2679
16.7066,2,4,183.6757,-106.8226,14.3959
16.7136,3,2,163.9560,-89.9505,31.2679
16.7136,3,4,49.2755,-86.3624,34.8561
16.8066,2,3,164.4324,-89.9505,31.2679
16.8066,2,4,183.0694,-106.8226,14.3959
16.9066,2,3,164.8752,-89.9505,31.2679
16.9066,2,4,182.4698,-106.8249,14.3936
16.9638,4,2,182.1175,-106.8248,14.3937
16.9638,4,3,49.0552,-85.6280,35.5905
17.0066,2,3,165.3200,-90.0679,31.1506
17.0066,2,4,181.8771,-106.8249,14.3936
17.0136,3,2,165.2779,-90.0679,31.1506
17.0136,3,4,49.3409,-85.6255,35.5930
17.1066,2,3,165.7971,-90.0679,31.1506
17.1066,2,4,181.3421,-106.8324,14.3861
17.2096,2,3,166.3017,-90.0598,31.1586
17.2096,2,4,180.8574,-106.5756,14.6429
17.2596,4,2,180.6238,-106.5754,14.6430
17.2596,4,3,49.5155,-85.1352,36.0833
17.3088,3,2,166.8073,-90.0598,31.1586
17.3088,3,4,49.5967,-84.5873,36.6312
17.3096,2,3,166.7939,-90.0598,31.1586
17.3096,2,4,180.3618,-106.5865,14.6320
17.4096,2,3,167.2657,-90.1777,31.0408
17.4096,2,4,179.8513,-106.5865,14.6320
17.5096,2,3,167.7115,-90.1777,31.0408
17.5096,2,4,179.3171,-106.5865,14.6320
17.5596,4,3,50.1716,-84.1973,37.0212
17.5626,4,2,178.9985,nan,0.6273
17.6088,3,2,168.1612,-90.1777,31.0408
17.6088,3,4,50.3132,-84.1956,37.0229
17.6096,2,3,168.1541,-90.1777,31.0408
17.6153,2,4,178.7921,-120.5822,0.6363
17.7096,2,3,168.5661,-90.1602,31.0583
17.7153,2,4,178.2329,-120.1816,1.0368
17.8096,2,3,168.9709,-90.1602,31.0583
17.8596,4,2,177.3758,-84.1386,37.0799
17.8596,4,3,51.1448,-83.8788,37.3397
17.9051,3,2,169.3677,-90.2788,30.9397
17.9051,3,4,51.3374,-83.8774,37.3411
17.9096,2,3,169.3525,-90.2788,30.9397
18.0096,2,4,177.2061,-87.6384,33.5801
18.0096,2,3,169.7131,-90.2788,30.9397
18.0096,2,4,176.4760,-87.9789,33.2396
18.1071,2,3,170.0600,-90.2639,30.9546
18.1596,4,3,52.4216,-83.5750,37.6435
18.1628,4,2,175.4938,nan,0.1989
18.2051,3,2,170.4030,-90.2639,30.9546
18.2051,3,4,52.6694,-83.3095,37.9090
18.3071,2,3,170.6971,-90.2639,30.9546
18.4071,2,4,174.7729,-113.5237,7.6948
18.4596,4,3,53.9784,-83.1287,38.0898
18.5051,3,2,171.2800,-105.5152,15.7033
18.5051,3,4,54.2637,-83.1276,38.0909
18.5071,2,3,171.2667,-105.5156,15.7029
18.7071,2,3,171.7542,-105.7446,15.4739
18.7748,4,3,55.6310,-83.0591,38.1594
18.8051,3,2,171.8108,-105.7150,15.5035
18.8051,3,4,56.0261,-83.0580,38.1604
18.8071,2,4,172.1226,-111.1789,10.0396
18.8748,4,2,170.4423,-113.6358,7.5827
18.9051,3,2,170.7267,-105.7150,15.5035
18.9051,3,4,56.0286,-82.9322,38.2862
18.9071,2,3,170.7080,-105.7154,15.5031
18.9118,2,4,170.4951,-115.7226,5.4959
19.0106,3,2,169.5245,-105.6814,15.5371
19.0106,3,4,56.1543,-83.0594,38.1591
19.0748,4,2,169.1695,-111.9832,9.2353
19.0748,4,3,55.7157,-83.0605,38.1580
19.1048,2,3,168.4829,-105.4208,15.7977
19.1048,2,4,168.9704,-111.9857,9.2328
19.1106,3,2,168.4061,-105.4204,15.7981
19.1106,3,4,56.1011,-83.0594,38.1591
19.1748,4,2,168.3936,-99.9760,21.2424
19.1748,4,3,55.6391,-82.9362,38.2823
19.2106,3,2,167.2686,-105.4204,15.7981
19.2106,3,4,55.9961,-82.9352,38.2833
19.2748,4,2,167.5954,-99.9762,21.2422
19.2748,4,3,55.5218,-80.2029,41.0156
19.3048,2,3,166.1983,-105.3710,15.8475
19.3048,2,4,167.3826,-99.9693,21.2492
19.3106,3,2,166.1180,-105.3705,15.8479
19.3106,3,4,55.8544,-80.2020,41.0165
19.3748,4,2,166.7628,-110.4313,10.7872
19.3748,4,3,55.3604,-80.2243,40.9942
19.4106,3,2,164.9517,-105.1022,16.1163
19.4106,3,4,55.6685,-80.2235,40.9950
19.4741,4,2,165.9196,-110.4309,10.7876
19.4741,4,3,55.1536,-80.2029,41.0156
19.5048,2,3,163.8469,-105.0555,16.1630
