tx_id,rx_id,distance,rssi,snr
5,9,101.396,-80.5481,40.6704
5,10,20.146,-69.6153,51.6032
5,11,6.60988,-55.0712,66.1473
5,12,94.865,-79.0258,42.1927
3,1,94.6324,-82.6619,38.5566
3,2,265.58,-102.306,21.361
3,4,243.724,-91.2952,29.9233
3,5,222.463,-92.5976,22.7772
3,6,238.114,-87.7271,31.4415
3,7,94.8709,-82.1634,39.0551
3,8,6.68023,-55.8494,65.3691
3,9,260.29,-88.3528,32.8657
3,10,238.683,-88.5276,32.6909
3,11,229.132,-99.1251,21.9816
3,12,244.463,-91.6449,29.5736
2,4,79.4901,-74.5007,14.4436
2,5,98.6729,-100.079,12.46
2,6,29.2973,-66.7577,41.0692
2,9,8.66011,-67.3093,20.5388
2,10,83.4251,-77.108,22.8073
2,11,96.9077,-88.8932,9.68369
2,12,22.5074,-65.6,21.314
4,1,259.096,-89.1792,16.9946
6,2,29.2806,-66.7577,7.74568
6,7,229.158,-97.9449,10.7341
6,9,22.4111,-69.0025,9.06488
4,10,5.94264,-63.5518,23.6806
4,11,21.0547,-70.2627,7.37099
6,12,6.72006,-53.8537,22.2431
6,1,222.271,-103.211,14.8559
6,3,238.059,-95.6062,27.2913
6,4,82.2843,-77.2186,43.9999
6,5,94.6221,-77.5041,43.7144
6,8,244.417,-97.4263,25.2156
6,10,84.4126,-85.6093,35.6092
6,11,94.8585,-77.6145,43.604
4,2,79.473,-74.4938,46.7246
4,3,243.56,-91.2944,29.9241
4,5,26.1954,-78.9842,42.2343
4,6,82.362,-77.2186,43.9999
4,7,265.515,-108.551,14.018
4,8,250.358,-87.5412,33.6773
4,9,83.879,-78.0776,43.1409
4,12,80.8458,-76.087,45.1315
2,1,251.488,-94.1136,30.118
2,7,258.369,-84.1492,37.0693
2,8,271.866,-91.5965,29.622
8,1,94.9404,-93.2123,29.1409
8,2,272.448,-91.6124,29.6061
8,3,7.60704,-56.9001,64.3184
8,4,250.905,-87.5574,33.6611
8,5,228.017,-85.993,35.2255
8,6,243.295,-93.127,27.4873
8,7,94.6301,-80.0825,41.136
8,9,266.528,-94.4451,26.7734
8,10,245.323,-90.3125,30.906
8,11,235.559,-86.3985,34.82
8,12,250.491,-93.9751,32.1713
12,1,227.918,-86.8627,9.659
12,2,23.5759,-65.9843,25.6256
12,4,80.5441,-76.0602,11.5594
12,5,94.9233,-79.0322,6.96383
12,6,7.67867,-54.9147,39.203
12,9,16.0789,-64.428,30.0133
12,10,83.3343,-76.9354,13.3701
12,11,94.6209,-78.7275,7.67108
9,1,243.286,-87.8249,33.3936
9,2,9.62347,-68.176,53.0425
9,3,259.383,-88.3243,32.8942
9,4,83.3517,-78.0299,43.1886
9,5,101.571,-80.5641,40.6543
9,6,23.572,-69.4127,51.8058
9,7,250.992,-99.0212,18.6623
9,8,266.533,-92.9927,26.7734
9,10,87.2199,-78.3575,42.861
9,11,100.127,-76.7368,44.4817
9,12,16.0879,-64.428,56.7905
12,3,243.295,-91.6049,29.6136
12,7,235.608,-88.7829,23.0919
12,8,250.484,-94.1567,35.0108
1,2,251.466,-91.0057,29.6482
1,3,94.6251,-82.6619,38.5566
1,4,258.463,-88.3376,32.8809
1,5,242.839,-98.239,26.2835
1,6,219.687,-103.488,10.7807
1,7,7.93707,-52.8189,68.3995
1,8,94.9545,-94.0489,18.5862
1,9,243.042,-87.8167,33.4018
1,10,254.5,-99.7254,21.4931
1,11,249.894,-94.5827,26.6357
1,12,227.586,-86.8505,34.368
