tx_id,rx_id,distance,rssi,snr
10,12,83.2242,-113.204,10.4996
10,1,253.063,-115.647,5.57138
10,3,236.009,-116.65,1.99707
10,7,261.701,-119.129,2.08991
10,8,245.166,-109.191,1.90025
8,4,251.911,-110.032,10.5126
8,9,266.579,-115.49,7.01368
9,1,241.213,-103.84,17.3787
9,2,11.992,-94.6432,26.5753
9,3,257.284,-114.671,6.5478
9,4,81.8279,-94.9547,26.2638
9,5,102.04,-117.959,6.68208
9,6,27.116,-87.9935,33.225
9,8,267.334,-114.962,7.80373
9,10,88.6716,-97.0294,24.1891
9,11,99.9292,-101.528,19.69
9,12,17.3174,-85.1998,36.0187
9,14,267.146,-105.894,15.3241
9,16,86.9227,-94.8712,26.3473
12,1,224.465,-105.706,15.5127
12,2,27.0471,-86.4021,34.8164
12,3,240.127,-112.562,8.65631
12,4,79.9543,-104.317,11.2916
12,5,95.1256,-97.9524,23.2661
12,6,9.96511,-76.4052,44.8133
12,7,234.047,-104.198,17.0205
12,8,250.171,-111.781,9.437
12,9,17.3106,-85.1998,36.0187
12,11,94.6199,-108.659,12.9946
12,13,235.068,-104.739,16.4793
12,14,249.957,-103.979,17.2392
12,16,83.4819,-97.1849,24.0336
8,1,98.1153,-95.9988,25.2197
8,2,274.701,-112.247,8.97107
8,3,10.122,-80.6599,40.5586
8,5,224.149,-108.061,13.1573
8,6,240.8,-105.482,10.2827
8,7,94.6293,-96.2659,24.9526
8,10,247.058,-110.97,12.9342
8,12,250.139,-111.78,9.43865
8,13,97.6363,-110.093,11.1251
8,14,3.13349,-74.84,46.3785
2,1,251.493,-104.824,16.394
2,4,75.5234,-94.2798,26.9387
2,5,99.0365,-97.4988,23.7197
2,6,37.6029,-89.4264,31.7921
2,8,274.766,-112.25,8.96832
2,9,12.2389,-94.81,26.4085
2,10,82.979,-103.462,17.7569
2,11,95.715,-97.8126,23.4059
2,12,27.4623,-86.5315,34.6869
2,13,262.36,-111.186,10.0322
2,14,274.775,-103.513,17.7056
2,16,81.6514,-106.442,10.1302
1,2,251.559,-104.825,16.3938
