time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
7.6418,veh2,CAM,3,50.4866,nan,nan,-70.7318,120.0000,14.9577,1
7.6493,veh2,CAM,6,29.6528,nan,nan,-91.5657,120.0000,109.6807,1
7.7523,veh2,CAM,5,30.9112,nan,nan,-94.9010,120.0000,50.7543,1
7.7661,veh2,CAM,7,32.0699,nan,nan,-89.1486,120.0000,135.4329,1
7.7933,veh2,CAM,4,30.6442,nan,nan,-88.8080,120.0000,31.2582,1
7.8366,veh2,CAM,3,24.8027,nan,nan,-67.8441,120.0000,11.7712,1
7.8661,veh2,CAM,7,32.4349,nan,nan,-88.7836,120.0000,129.8577,1
7.8703,veh2,CAM,8,29.4768,nan,nan,-95.5902,120.0000,170.2312,1
7.9056,veh2,CAM,9,30.7321,nan,nan,-90.4863,265.0000,179.6383,1
7.9493,veh2,CAM,6,30.0332,nan,nan,-91.1853,120.0000,104.9840,1
7.9578,veh2,CAM,5,28.1247,nan,nan,-88.1209,120.0000,47.9299,1
7.9661,veh2,CAM,7,32.5394,nan,nan,-88.6790,120.0000,128.3045,1
7.9933,veh2,CAM,4,25.3896,nan,nan,-89.4672,120.0000,28.6773,1
8.0366,veh2,CAM,3,27.3968,nan,nan,-64.9918,120.0000,8.5214,1
8.0661,veh2,CAM,7,32.6454,nan,nan,-88.5731,120.0000,126.7499,1
8.1378,veh2,CAM,5,21.0620,nan,nan,-99.3596,120.0000,45.2398,1
8.1661,veh2,CAM,7,32.7529,nan,nan,-88.4656,120.0000,125.1906,1
8.1703,veh2,CAM,8,26.4348,nan,nan,-100.6904,120.0000,168.4747,1
8.1933,veh2,CAM,4,26.7417,nan,nan,-88.2506,120.0000,26.2669,1
8.2056,veh2,CAM,9,30.6248,nan,nan,-90.5937,265.0000,182.0396,1
8.2366,veh2,CAM,3,31.1888,nan,nan,-60.9327,120.0000,5.3835,1
8.2488,veh2,CAM,6,30.4299,nan,nan,-90.7886,120.0000,100.2895,1
