time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
6515.2500,1,1,651,5,1,0,1,10,10,7,14,308,20,5,1,1,3,14,55
6530.5000,1,1,653,0,2,0,1,40,10,7,14,308,20,5,4,1,3,12,255
6619.0000,2,2,661,9,0,0,1,30,10,7,14,308,20,5,3,1,3,38,42
6630.7500,2,2,663,0,3,0,1,30,10,7,14,308,20,5,3,1,3,11,255
6770.2500,3,3,677,0,1,0,1,20,10,7,14,308,20,5,2,1,3,27,41
6781.2500,3,3,678,1,1,0,1,40,10,7,14,308,20,5,4,1,3,8,255
6820.2500,1,1,682,0,1,0,1,30,10,7,14,308,20,5,3,1,3,17,21
6826.0000,1,1,682,6,0,0,1,0,10,7,14,308,20,5,0,1,3,21,255
7069.2500,3,3,706,9,1,0,1,0,10,7,14,308,20,5,0,1,3,19,40
7079.7500,3,3,707,9,3,0,1,30,10,7,14,308,20,5,3,1,3,9,255
7120.2500,1,1,712,0,1,0,1,30,10,7,14,308,20,5,3,1,3,17,21
7126.0000,1,1,712,6,0,0,1,0,10,7,14,308,20,5,0,1,3,21,255
7365.7500,3,3,736,5,3,0,1,20,10,7,14,308,20,5,2,1,3,2,5
7373.7500,3,3,737,3,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
7420.2500,1,1,742,0,1,0,1,30,10,7,14,308,20,5,3,1,3,17,21
7426.0000,1,1,742,6,0,0,1,0,10,7,14,308,20,5,0,1,3,21,255
7614.2500,2,2,761,4,1,0,1,0,10,7,14,308,20,5,0,1,3,7,18
7621.5000,2,2,762,1,2,0,1,20,10,7,14,308,20,5,2,1,3,26,255
7665.7500,3,3,766,5,3,0,1,20,10,7,14,308,20,5,2,1,3,2,5
7673.7500,3,3,767,3,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
7720.2500,1,1,772,0,1,0,1,30,10,7,14,308,20,5,3,1,3,17,21
7726.0000,1,1,772,6,0,0,1,0,10,7,14,308,20,5,0,1,3,21,255
7965.7500,3,3,796,5,3,0,1,20,10,7,14,308,20,5,2,1,3,2,5
7973.7500,3,3,797,3,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
8020.2500,1,1,802,0,1,0,1,30,10,7,14,308,20,5,3,1,3,17,21
8026.0000,1,1,802,6,0,0,1,0,10,7,14,308,20,5,0,1,3,21,255
8269.7500,3,3,826,9,3,0,1,30,10,7,14,308,20,5,3,1,3,2,8
8273.5000,3,3,827,3,2,0,1,0,10,7,14,308,20,5,0,1,3,4,255
8312.0000,1,1,831,2,0,0,1,20,10,7,14,308,20,5,2,1,3,36,40
8327.5000,1,1,832,7,2,0,1,10,10,7,14,308,20,5,1,1,3,11,255
8569.7500,3,3,856,9,3,0,1,30,10,7,14,308,20,5,3,1,3,2,8
8573.5000,3,3,857,3,2,0,1,0,10,7,14,308,20,5,0,1,3,4,255
8609.5000,2,2,860,9,2,0,1,20,10,7,14,308,20,5,2,1,3,15,17
8612.0000,1,1,861,2,0,0,1,20,10,7,14,308,20,5,2,1,3,36,40
8615.0000,2,2,861,5,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
8627.5000,1,1,862,7,2,0,1,10,10,7,14,308,20,5,1,1,3,11,255
8769.7500,3,3,876,9,3,0,1,30,10,7,14,308,20,5,3,1,3,2,8
8773.5000,3,3,877,3,2,0,1,0,10,7,14,308,20,5,0,1,3,4,255
8912.0000,1,1,891,2,0,0,1,20,10,7,14,308,20,5,2,1,3,36,40
8927.5000,1,1,892,7,2,0,1,10,10,7,14,308,20,5,1,1,3,11,255
8969.7500,3,3,896,9,3,0,1,30,10,7,14,308,20,5,3,1,3,2,8
8973.5000,3,3,897,3,2,0,1,0,10,7,14,308,20,5,0,1,3,4,255
9169.7500,3,3,916,9,3,0,1,30,10,7,14,308,20,5,3,1,3,2,8
9173.5000,3,3,917,3,2,0,1,0,10,7,14,308,20,5,0,1,3,4,255
9209.5000,2,2,920,9,2,0,1,20,10,7,14,308,20,5,2,1,3,15,17
9212.0000,1,1,921,2,0,0,1,20,10,7,14,308,20,5,2,1,3,36,40
9215.0000,2,2,921,5,0,0,1,10,10,7,14,308,20,5,1,1,3,10,255
9227.5000,1,1,922,7,2,0,1,10,10,7,14,308,20,5,1,1,3,11,255
