tx_id,rx_id,distance,rssi,snr
15,4,62.086,-94.405,26.8135
15,5,117.862,-92.36,28.8585
15,6,67.7527,-83.1275,38.091
15,7,227.854,-92.939,28.2795
15,8,240.969,-103.126,24.4695
15,9,13.8273,-77.5785,45.1253
15,10,67.1651,-88.0865,33.132
15,11,104.912,-90.5328,30.6857
15,12,49.4175,-99.8654,22.8874
15,13,237.871,-106.466,20.3839
15,14,250.598,-105.65,15.5684
15,16,68.0071,-90.0129,35.2586
15,17,96.8126,-95.2578,25.9606
15,18,37.9895,-81.4943,39.7242
15,19,252.873,-94.5331,26.6854
15,20,264.732,-95.0021,26.2164
16,1,236.896,-97.4254,18.7048
16,2,28.5093,-88.7533,31.9539
16,3,222.609,-95.5666,25.6519
16,4,10.8784,-77.4903,43.7282
16,5,79.544,-82.9924,38.2261
16,6,99.4786,-86.9752,34.2433
16,7,240.629,-118.277,11.9032
16,8,226.199,-106.121,11.6313
16,9,64.4725,-80.271,40.9475
16,10,7.34469,-74.932,46.2865
16,11,58.707,-85.2048,36.0137
16,12,88.0464,-85.6545,35.564
16,13,250.964,-99.2808,21.9377
16,14,237.338,-102.499,16.0212
16,15,67.9668,-93.4094,27.9582
16,17,42.6287,-94.3098,30.6763
16,18,84.6597,-92.6673,28.5512
16,19,265.219,-100.84,20.3785
16,20,252.207,-114.467,9.82054
19,3,99.4648,-101.091,20.1277
20,1,99.185,-86.1956,35.0229
20,2,273.536,-94.4953,26.7232
20,3,29.6335,-83.1926,38.0259
20,4,261.104,-102.372,18.8463
20,5,175,-102.193,19.0256
20,6,202.99,-89.5663,31.6522
20,7,94.9224,-85.9852,35.2333
20,8,26.6174,-89.639,31.5795
20,9,275.636,-92.8573,28.3612
20,10,259.46,-96.346,24.8725
20,11,196.965,-91.4655,29.753
