time,vehicle,speed,lane
27.0,veh17,11.09,0
27.0,veh4,20.83,0
27.0,veh19,3.46,0
27.0,veh10,6.94,1
27.0,veh6,4.15,0
27.0,veh7,5.55,0
27.0,veh12,3.46,0
27.0,veh11,9.72,0
27.0,veh2,20.82,1
27.0,veh15,13.88,1
28.0,veh20,6.93,0
28.0,veh3,6.92,0
28.0,veh1,6.92,0
28.0,veh13,15.25,0
28.0,veh8,16.45,1
28.0,veh16,16.66,1
28.0,veh9,6.92,0
28.0,veh5,11.09,0
28.0,veh14,11.1,0
28.0,veh18,13.88,0
28.0,veh10,6.93,1
28.0,veh17,11.09,0
28.0,veh4,18.17,0
28.0,veh19,3.46,0
28.0,veh6,4.16,0
28.0,veh7,5.54,0
28.0,veh12,3.47,0
28.0,veh11,9.71,0
28.0,veh2,20.83,1
28.0,veh15,13.88,1
29.0,veh20,6.93,0
29.0,veh3,6.93,0
29.0,veh1,6.93,0
29.0,veh13,15.27,0
29.0,veh8,16.5,1
29.0,veh16,16.65,1
29.0,veh9,6.92,0
29.0,veh5,11.1,0
29.0,veh14,11.1,0
29.0,veh18,13.87,0
29.0,veh10,6.93,1
29.0,veh17,11.11,0
29.0,veh19,3.47,0
29.0,veh4,15.53,1
29.0,veh6,4.16,0
29.0,veh7,5.54,0
29.0,veh12,3.45,0
29.0,veh11,9.72,0
29.0,veh2,20.81,1
29.0,veh15,13.87,1
30.0,veh20,6.92,0
30.0,veh3,6.93,0
30.0,veh1,6.93,0
30.0,veh8,16.54,1
30.0,veh16,16.65,1
30.0,veh9,6.92,0
30.0,veh5,11.11,0
30.0,veh14,11.09,0
30.0,veh18,13.88,0
30.0,veh10,6.92,1
30.0,veh13,15.27,0
30.0,veh17,11.1,0
30.0,veh19,3.47,0
30.0,veh4,18.45,1
30.0,veh6,4.15,0
30.0,veh7,5.55,0
30.0,veh12,3.45,0
30.0,veh11,4.85,0
30.0,veh15,13.88,0
30.0,veh2,20.83,1
31.0,veh20,6.92,0
31.0,veh3,6.92,0
31.0,veh1,6.92,0
31.0,veh8,16.58,1
31.0,veh9,6.93,0
31.0,veh5,11.1,0
31.0,veh14,11.1,0
31.0,veh18,13.89,0
31.0,veh10,6.94,1
31.0,veh13,15.26,0
31.0,veh16,16.66,1
31.0,veh19,3.45,0
31.0,veh4,20.82,1
31.0,veh17,11.1,0
31.0,veh6,4.15,0
31.0,veh7,5.54,0
31.0,veh12,3.46,0
31.0,veh11,4.84,0
31.0,veh15,13.88,0
