timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
3719.48214,0,2,0,371,9,1,1,1,255,0,50,1,12,14,1,0,1774,8212.820859741538,5870.303950802953,0,0,0,0,1,1
3819.48214,0,2,0,381,9,1,1,1,255,0,50,1,12,14,1,0,1774,21771.523692854433,16481.9302400902,0,0,0,0,1,1
3919.48214,0,2,0,391,9,1,1,1,255,0,50,1,12,14,1,0,1774,17302.272667137644,14085.355285227666,0,0,0,0,1,1
4019.48214,0,2,0,401,9,1,1,1,255,0,50,1,12,14,1,0,1774,27153.073216720015,19911.662852333175,0,0,0,0,1,1
4119.48214,0,2,0,411,9,1,1,1,255,0,50,1,12,14,1,0,1774,8381.620524501033,7834.57624080003,0,0,0,0,1,1
4219.48214,0,2,0,421,9,1,1,1,255,0,50,1,12,14,1,0,1774,20341.47673421928,13919.127299944743,0,0,0,0,1,1
4319.48214,0,2,0,431,9,1,1,1,255,0,50,1,12,14,1,0,1774,21800.775912239646,18493.92402343282,0,0,0,0,1,1
4419.48214,0,2,0,441,9,1,1,1,255,0,50,1,12,14,1,0,1774,21800.775912239646,18493.92402343282,0,0,0,0,1,1
4519.48214,0,2,0,451,9,1,1,1,255,0,50,1,12,14,1,0,1774,22673.466188023016,8726.20228769762,0,0,0,0,1,1
4619.48214,0,2,0,461,9,1,1,1,255,0,50,1,12,14,1,0,1774,24949.335987457027,24430.068679060994,0,0,0,0,1,1
4726.232139999999,0,2,0,472,6,0,1,1,255,0,50,1,12,14,1,0,1774,27503.769641039205,17076.174337332315,0,0,0,0,1,1
4826.23214,0,2,0,482,6,0,1,1,255,0,50,1,12,14,1,0,1774,1221.24951386213,943.6952642217054,0,0,0,0,1,1
4926.23214,0,2,0,492,6,0,1,1,255,0,50,1,12,14,1,0,1774,1221.24951386213,943.6952642217054,0,0,0,0,1,1
5026.23214,0,2,0,502,6,0,1,1,255,0,50,1,12,14,1,0,1774,16398.111561959373,15034.772103978376,0,0,0,0,1,1
5126.23214,0,2,0,512,6,0,1,1,255,0,50,1,12,14,1,0,1774,30666.494154976466,27129.252874553684,0,0,0,0,1,1
5226.232139999999,0,2,0,522,6,0,1,1,255,0,50,1,12,14,1,0,1774,16426.894314663394,11909.889451051584,0,0,0,0,1,1
5326.23214,0,2,0,532,6,0,1,1,255,0,50,1,12,14,1,0,1774,21279.7163123371,15353.519398376482,0,0,0,0,1,1
5426.23214,0,2,0,542,6,0,1,1,255,0,50,1,12,14,1,0,1774,12934.38285916445,6036.245340775554,0,0,0,0,1,1
5526.23214,0,2,0,552,6,0,1,1,255,0,50,1,12,14,1,0,1774,14688.83361802168,11317.373955720357,0,0,0,0,1,1
5626.23214,0,2,0,562,6,0,1,1,255,0,50,1,12,14,1,0,1774,15415.038167906108,13805.139075463136,0,0,0,0,1,1
5726.232139999999,0,2,0,572,6,0,1,1,255,0,50,1,12,14,1,0,1774,15415.038167906108,13805.139075463136,0,0,0,0,1,1
5834.98214,0,2,0,583,4,3,1,1,255,0,50,1,12,14,1,0,1774,16346.261469771933,15796.05780922097,0,0,0,0,1,1
5934.98214,0,2,0,593,4,3,1,1,255,0,50,1,12,14,1,0,1774,5327.570695709904,1961.3759576194702,0,0,0,0,1,1
6034.98214,0,2,0,603,4,3,1,1,255,0,50,1,12,14,1,0,1774,5327.570695709904,1961.3759576194702,0,0,0,0,1,1
6134.98214,0,2,0,613,4,3,1,1,255,0,50,1,12,14,1,0,1774,23492.720704199626,16006.790533007632,0,0,0,0,1,1
6234.98214,0,2,0,623,4,3,1,1,255,0,50,1,12,14,1,0,1774,21099.48956011161,20061.24146152321,0,0,0,0,1,1
6334.98214,0,2,0,633,4,3,1,1,255,0,50,1,12,14,1,0,1774,21820.248090265555,13940.306466168055,0,0,0,0,1,1
6434.98214,0,2,0,643,4,3,1,1,255,0,50,1,12,14,1,0,1774,20319.432881695837,17693.577908454383,0,0,0,0,1,1
6534.98214,0,2,0,653,4,3,1,1,255,0,50,1,12,14,1,0,1774,15318.856213427687,9810.737722269485,0,0,0,0,1,1
6641.98214,0,2,0,664,1,3,1,1,255,0,50,1,12,14,1,0,1774,11428.21122045249,5314.603740687391,0,0,0,0,1,1
6741.98214,0,2,0,674,1,3,1,1,255,0,50,1,12,14,1,0,1774,15187.450544651625,6210.4508733982775,0,0,0,0,1,1
6841.98214,0,2,0,684,1,3,1,1,255,0,50,1,12,14,1,0,1774,15187.450544651625,6210.4508733982775,0,0,0,0,1,1
6941.98214,0,2,0,694,1,3,1,1,255,0,50,1,12,14,1,0,1774,11913.632106437557,8674.103822481362,0,0,0,0,1,1
