timeMs,imsi,rnti,srcL2Id,dstL2Id,frame,subFrame,slot,symStart,symLen,sbChSize,rbStart,rbLen,harqId,ndi,rv,reselCounter,cReselCounter,csiReq,castType,SEED,RUN
4221.0,1,1,1,255,422,1,0,1,12,50,0,50,2,0,3,5,131,0,0,1,1
4221.75,1,1,1,255,422,1,3,1,12,50,0,50,2,0,1,5,131,0,0,1,1
4224.25,1,1,1,255,422,4,1,1,12,50,0,50,2,0,0,4,130,0,0,1,1
4319.25,1,1,1,255,431,9,1,1,12,50,0,50,3,1,0,4,130,0,0,1,1
4319.75,1,1,1,255,431,9,3,1,12,50,0,50,3,0,2,4,130,0,0,1,1
4321.0,1,1,1,255,432,1,0,1,12,50,0,50,3,0,3,4,130,0,0,1,1
4321.75,1,1,1,255,432,1,3,1,12,50,0,50,3,0,1,4,130,0,0,1,1
4324.25,1,1,1,255,432,4,1,1,12,50,0,50,3,0,0,3,129,0,0,1,1
4419.25,1,1,1,255,441,9,1,1,12,50,0,50,0,1,0,3,129,0,0,1,1
4419.75,1,1,1,255,441,9,3,1,12,50,0,50,0,0,2,3,129,0,0,1,1
4421.0,1,1,1,255,442,1,0,1,12,50,0,50,0,0,3,3,129,0,0,1,1
4421.75,1,1,1,255,442,1,3,1,12,50,0,50,0,0,1,3,129,0,0,1,1
4424.25,1,1,1,255,442,4,1,1,12,50,0,50,0,0,0,2,128,0,0,1,1
4519.25,1,1,1,255,451,9,1,1,12,50,0,50,1,1,0,2,128,0,0,1,1
4519.75,1,1,1,255,451,9,3,1,12,50,0,50,1,0,2,2,128,0,0,1,1
4521.0,1,1,1,255,452,1,0,1,12,50,0,50,1,0,3,2,128,0,0,1,1
4521.75,1,1,1,255,452,1,3,1,12,50,0,50,1,0,1,2,128,0,0,1,1
4524.25,1,1,1,255,452,4,1,1,12,50,0,50,1,0,0,1,127,0,0,1,1
4619.25,1,1,1,255,461,9,1,1,12,50,0,50,2,1,0,1,127,0,0,1,1
4619.75,1,1,1,255,461,9,3,1,12,50,0,50,2,0,2,1,127,0,0,1,1
4621.0,1,1,1,255,462,1,0,1,12,50,0,50,2,0,3,1,127,0,0,1,1
4621.75,1,1,1,255,462,1,3,1,12,50,0,50,2,0,1,1,127,0,0,1,1
4624.25,1,1,1,255,462,4,1,1,12,50,0,50,2,0,0,0,126,0,0,1,1
4726.0,1,1,1,255,472,6,0,1,12,50,0,50,0,1,0,11,119,0,0,1,1
4726.5,1,1,1,255,472,6,2,1,12,50,0,50,0,0,2,11,119,0,0,1,1
4729.5,1,1,1,255,472,9,2,1,12,50,0,50,0,0,3,11,119,0,0,1,1
4731.5,1,1,1,255,473,1,2,1,12,50,0,50,0,0,1,11,119,0,0,1,1
4732.0,1,1,1,255,473,2,0,1,12,50,0,50,0,0,0,10,118,0,0,1,1
4826.0,1,1,1,255,482,6,0,1,12,50,0,50,1,1,0,10,118,0,0,1,1
4826.5,1,1,1,255,482,6,2,1,12,50,0,50,1,0,2,10,118,0,0,1,1
4829.5,1,1,1,255,482,9,2,1,12,50,0,50,1,0,3,10,118,0,0,1,1
4831.5,1,1,1,255,483,1,2,1,12,50,0,50,1,0,1,10,118,0,0,1,1
4832.0,1,1,1,255,483,2,0,1,12,50,0,50,1,0,0,9,117,0,0,1,1
4926.0,1,1,1,255,492,6,0,1,12,50,0,50,2,1,0,9,117,0,0,1,1
4926.5,1,1,1,255,492,6,2,1,12,50,0,50,2,0,2,9,117,0,0,1,1
4929.5,1,1,1,255,492,9,2,1,12,50,0,50,2,0,3,9,117,0,0,1,1
4931.5,1,1,1,255,493,1,2,1,12,50,0,50,2,0,1,9,117,0,0,1,1
4932.0,1,1,1,255,493,2,0,1,12,50,0,50,2,0,0,8,116,0,0,1,1
5026.0,1,1,1,255,502,6,0,1,12,50,0,50,3,1,0,8,116,0,0,1,1
5026.5,1,1,1,255,502,6,2,1,12,50,0,50,3,0,2,8,116,0,0,1,1
